omega,P_omega_delta_0.15,P_omega_delta_-0.15
-4144.9,2.7517091665429257e-20,5.3862382019703235e-21
-4144.7,4.506339545668186e-20,1.7113535342397533e-22
-4144.5,8.944868194818805e-20,5.5251593003943e-22
-4144.3,3.495271126563961e-20,1.83192405669456e-20
-4144.1,8.567142507721898e-20,4.16444281925346e-21
-4143.9,2.0687361093406614e-20,6.174413732394431e-21
-4143.7,8.266615162623379e-20,5.4602576315134426e-21
-4143.5,5.715472319134586e-20,1.6902832755270718e-20
-4143.3,3.15236578878378e-20,3.438308538916134e-22
-4143.099999999999,7.29446814011654e-20,4.998650407082371e-21
-4142.9,4.18060404532329e-20,3.453447185794399e-21
-4142.7,5.664431845802968e-20,9.678139982421023e-22
-4142.5,4.1821845615505865e-20,1.1076003296589572e-20
-4142.3,6.184264763187689e-20,6.6841070367018995e-21
-4142.099999999999,6.995399876924872e-20,1.0030027721828321e-21
-4141.9,3.8540411700967405e-20,2.3055130717986708e-21
-4141.7,4.7886978623568414e-20,1.2925068684227352e-21
-4141.5,5.700842012435522e-20,1.3137681034647975e-20
-4141.3,5.922822690209887e-20,5.74141327124074e-22
-4141.099999999999,4.8557162444718393e-20,2.0153084817236105e-21
-4140.9,8.45589723718024e-20,6.91477648412671e-21
-4140.7,3.3083449489942164e-20,1.5447840517786476e-21
-4140.5,5.591501931583602e-20,4.890562024538385e-21
-4140.3,5.953331982758245e-20,5.991562053501644e-23
-4140.099999999999,5.964056572789055e-20,4.560376756296724e-21
-4139.9,8.989091051757757e-20,2.404212073973727e-22
-4139.7,3.7873544789929055e-20,2.70628775989359e-21
-4139.5,4.916499380671903e-20,5.364128043291562e-21
-4139.3,7.358761637635411e-20,1.1622713099479494e-21
-4139.099999999999,6.647220418795695e-20,5.6522251107208315e-21
-4138.9,5.3923145150980396e-20,3.593617386181552e-21
-4138.7,5.918129790572173e-20,2.092682483189451e-21
-4138.5,5.752527033388397e-20,4.1101272258975654e-21
-4138.299999999999,6.83743045227132e-20,3.0399047417438947e-22
